VFID	query	vf_category
VF0465	VFG037889(gb|WP_000045514)	Immune modulation
VF0465	VFG037890(gb|WP_001165098)	Immune modulation
VF0465	VFG037891(gb|WP_000872578)	Immune modulation
VF0465	VFG037892(gb|YP_005796970)	Immune modulation
VF0465	VFG037893(gb|WP_001190670)	Immune modulation
VF0465	VFG037894(gb|WP_001165093)	Immune modulation
VF0465	VFG037895(gb|WP_001175098)	Immune modulation
VF0465	VFG037896(gb|WP_000591426)	Immune modulation
VF0465	VFG037897(gb|WP_001165095)	Immune modulation
VF0465	VFG037898(gb|YP_001083149)	Immune modulation
VF0465	VFG037900(gb|WP_001165099)	Immune modulation
VF0465	VFG037903(gb|WP_001175102)	Immune modulation
VF0465	VFG037904(gb|WP_000686119)	Immune modulation
VF0465	VFG037905(gb|WP_000102101)	Immune modulation
VF0465	VFG037906(gb|WP_001165092)	Immune modulation
VF0465	VFG037908(gb|WP_000487070)	Immune modulation
VF0465	VFG037909(gb|WP_000939041)	Immune modulation
VF0465	VFG037910(gb|WP_000085124)	Immune modulation
VF0465	VFG037911(gb|WP_000721147)	Immune modulation
VF0465	VFG037912(gb|WP_000939040)	Immune modulation
VF0465	VFG037913(gb|YP_001083150)	Immune modulation
VF0465	VFG037915(gb|WP_000711197)	Immune modulation
VF0465	VFG037918(gb|WP_001077698)	Immune modulation
VF0465	VFG037919(gb|WP_000591430)	Immune modulation
VF0465	VFG037920(gb|WP_000381246)	Immune modulation
VF0465	VFG037921(gb|WP_000102100)	Immune modulation
VF0465	VFG037923(gb|WP_000699387)	Immune modulation
VF0465	VFG037924(gb|WP_000470516)	Immune modulation
VF0465	VFG037925(gb|WP_000567196)	Immune modulation
VF0465	VFG037926(gb|WP_000935238)	Immune modulation
VF0465	VFG037927(gb|WP_000470518)	Immune modulation
VF0465	VFG037928(gb|YP_001083151)	Immune modulation
VF0465	VFG037930(gb|WP_000991899)	Immune modulation
VF0465	VFG037933(gb|WP_000051833)	Immune modulation
VF0465	VFG037934(gb|WP_000977704)	Immune modulation
VF0465	VFG037935(gb|WP_000717544)	Immune modulation
VF0465	VFG037936(gb|WP_000381247)	Immune modulation
VF0465	VFG037937(gb|YP_005796973)	Immune modulation
VF0465	VFG037938(gb|WP_000104825)	Immune modulation
VF0465	VFG037939(gb|WP_001175207)	Immune modulation
VF0465	VFG037940(gb|WP_000877637)	Immune modulation
VF0465	VFG037941(gb|WP_000177817)	Immune modulation
VF0465	VFG037942(gb|WP_001175206)	Immune modulation
VF0465	VFG037943(gb|YP_001083152)	Immune modulation
VF0465	VFG037945(gb|WP_000961495)	Immune modulation
VF0465	VFG037949(gb|WP_001100755)	Immune modulation
VF0465	VFG037950(gb|WP_000576423)	Immune modulation
VF0465	VFG037951(gb|WP_000717545)	Immune modulation
VF0465	VFG037952(gb|YP_005796974)	Immune modulation
VF0465	VFG037953(gb|WP_000052392)	Immune modulation
VF0465	VFG037954(gb|WP_000666851)	Immune modulation
VF0465	VFG037956(gb|WP_029746836)	Immune modulation
VF0465	VFG037957(gb|WP_000666850)	Immune modulation
VF0465	VFG037958(gb|YP_001083153)	Immune modulation
VF0465	VFG037960(gb|WP_000858703)	Immune modulation
VF0465	VFG037963(gb|WP_001062745)	Immune modulation
VF0465	VFG037964(gb|WP_001023243)	Immune modulation
VF0465	VFG037965(gb|WP_000617450)	Immune modulation
VF0465	VFG037966(gb|WP_000576996)	Immune modulation
VF0465	VFG037967(gb|YP_005796975)	Immune modulation
VF0465	VFG037968(gb|WP_000247059)	Immune modulation
VF0465	VFG037969(gb|WP_000886733)	Immune modulation
VF0465	VFG037970(gb|WP_000799852)	Immune modulation
VF0465	VFG037971(gb|WP_000198617)	Immune modulation
VF0465	VFG037972(gb|WP_000886731)	Immune modulation
VF0465	VFG037973(gb|YP_001083154)	Immune modulation
VF0465	VFG037974(gb|WP_000919783)	Immune modulation
VF0465	VFG037975(gb|WP_000567619)	Immune modulation
VF0465	VFG037976(gb|WP_020752679)	Immune modulation
VF0465	VFG037978(gb|WP_002036860)	Immune modulation
VF0465	VFG037979(gb|WP_002020522)	Immune modulation
VF0465	VFG037980(gb|WP_000580205)	Immune modulation
VF0465	VFG037981(gb|WP_000731740)	Immune modulation
VF0465	VFG037982(gb|YP_005796976)	Immune modulation
VF0465	VFG037983(gb|WP_000924631)	Immune modulation
VF0465	VFG037984(gb|WP_000037965)	Immune modulation
VF0465	VFG037986(gb|WP_000591000)	Immune modulation
VF0465	VFG037987(gb|WP_000037963)	Immune modulation
VF0465	VFG037988(gb|YP_001083155)	Immune modulation
VF0465	VFG037990(gb|WP_000705810)	Immune modulation
VF0465	VFG037993(gb|WP_000471755)	Immune modulation
VF0465	VFG037994(gb|WP_000734323)	Immune modulation
VF0465	VFG037995(gb|WP_000866167)	Immune modulation
VF0465	VFG037996(gb|WP_000617447)	Immune modulation
VF0465	VFG037997(gb|YP_005796977)	Immune modulation
VF0465	VFG037998(gb|WP_000612008)	Immune modulation
VF0465	VFG037999(gb|WP_001264635)	Immune modulation
VF0465	VFG038001(gb|WP_000950012)	Immune modulation
VF0465	VFG038002(gb|WP_000172211)	Immune modulation
VF0465	VFG038003(gb|YP_001083156)	Immune modulation
VF0465	VFG038005(gb|WP_001222076)	Immune modulation
VF0465	VFG038007(gb|WP_000617448)	Immune modulation
VF0465	VFG038008(gb|WP_000866952)	Immune modulation
VF0465	VFG038011(gb|WP_000580206)	Immune modulation
VF0465	VFG038012(gb|YP_005796978)	Immune modulation
VF0465	VFG038013(gb|WP_001050695)	Immune modulation
VF0465	VFG038014(gb|WP_000083093)	Immune modulation
VF0465	VFG038015(gb|WP_000357153)	Immune modulation
VF0465	VFG038016(gb|WP_001083066)	Immune modulation
VF0465	VFG038017(gb|WP_001010045)	Immune modulation
VF0465	VFG038018(gb|YP_001083157)	Immune modulation
VF0465	VFG038020(gb|WP_000595803)	Immune modulation
VF0465	VFG038026(gb|WP_000866168)	Immune modulation
VF0465	VFG038027(gb|YP_005796979)	Immune modulation
VF0465	VFG038028(gb|WP_000898289)	Immune modulation
VF0465	VFG038029(gb|WP_000631584)	Immune modulation
VF0465	VFG038030(gb|WP_032071326)	Immune modulation
VF0465	VFG038031(gb|WP_001175100)	Immune modulation
VF0465	VFG038033(gb|YP_001083158)	Immune modulation
VF0465	VFG038034(gb|WP_000867038)	Immune modulation
VF0465	VFG038035(gb|WP_000177816)	Immune modulation
VF0465	VFG038036(gb|WP_020752680)	Immune modulation
VF0465	VFG038040(gb|WP_000471756)	Immune modulation
VF0465	VFG038041(gb|WP_001280912)	Immune modulation
